PPAL ID,TYPE,Name,Habitat,Latin name,Order,Rarity,Time,Active,Weight(kg),Length(cm),Wingspan(cm),Pocket Fact,,
104,Insect,Common darter dragonfly,Wetland,Sympetrum striolatum,Odonata,4,Day,Diurnal,0,38-43,5-7,Dragonflies catch prey with their feet whilst flying and have a 90% success rate,A widespread dragonfly that prefers stagnant water and can be seen until Autumn,
105,Amphibian,Common frog,Wetland,,Anura,5,Night,Nocturnal,0.021-0.024,8-13,0,Females are bigger than males and can deposit spawns of up to 2000 eggs,A long sticky tongue and springing legs equip them for night-time insect catching,
106,Bird,Great crested grebe,Wetland,Podiceps cristatus,Podicipediformes,4,Day,Diurnal,0.59-1.5,45-51,85-90,They have an elaborate courtship dance that involved shaking their heads,An excellent diver with beautiful head plumes and an orange ruff around its neck,
107,Amphibian,Great crested newt,Wetland,Triturus cristatus,Caudata,7,Night,Nocturnal,0.0062-0.0105,14-17,0,During the breeding season males develop a dinosaur-like crest on their back,A bright bellied amphibian that breeds in ponds and hiberates during winter,
108,Bird,Grey heron,Wetland,Ardea cinerea,Pelecaniformes,3,Day,Diurnal,1-2,84–102,155-195,Fish amphibians small mammals and even ducklings can be a tasty treat for a heron,Herons stand motionless with their necks stretched to hunt prey at waterway edges,
109,Bird,Lapwing,Wetland,Vanellus vanellus,Charadriiformes,3,Day,Diurnal,0.14-0.32,28-31,82-87,Males perform a mating display by tumbling through the air and calling ‘peewit’!,Their black plumage reveals a beautiful blue iridesent sheen in the right angle,
110,Bird,Mallard,Wetland,Anas platyrhynchos,Anseriformes,1,Day,Diurnal,0.72-1.58,50-65,81-98,The duckling chicks can synchronize when to hatch within the eggshell,A common dabbling duck. Males have a green head whilst females are brown,
111,Mammal,Otter,Wetland,Lutra lutra,Carnivora,3,Day,Diurnal,7-12,57-95,0,Otters leave scented messaged called spraints that smell like jasmine tea!,Webbed feet and dense fur help this elusive predator hunt fish,
112,Insect,Wasp spider,Wetland,Argiope bruennichi,Araneae,8,Day,Diurnal,0,0.5-1.8,0,Mating is dangerous for males as the female often predates on anything on the web,It's name arises from their ability to mimic wasps even though they are harmless,
113,Mammal,Watervole,Wetland,Arvicola amphibius,Rodentia,5,Night,Nocturnal,0.115-0.225,14-22,0,Water voles need to eat 80% of their body weight every day,Their burrowing movements help create habitats for other species,
114,Bird,White-throated dipper,Wetland,Cinclus cinclus,Passeriformes,7,Day,Diurnal,0.055- 0.075,17-19,25-30,Dippers can walk underwater by grasping stones in the river bed,A plump bird that bobs when perched and dips when catching freshwater insects,
201,Bird,Curlew,Coast,none,none,8,none,none,0,0,0,none,none,1
202,Bird,Atlantic puffin,Coast,none,none,0,none,none,0,0,0,none,none,2
203,Bird,Peregrine Falcon,Coast,none,none,4,none,none,0,0,0,none,none,3
204,Mammal,Common dolphin,Coast,none,none,0,none,none,0,0,0,none,none,4
205,Fish,Short snouted seahorse,Coast,none,none,0,none,none,0,0,0,none,none,5
206,Mammal,Grey seal,Coast,none,none,0,none,none,0,0,0,none,none,6
207,Mammal,Basking Shark,Coast,none,none,0,none,none,0,0,0,none,none,7
208,Bird,Golden Eagle,Coast,none,none,0,none,none,0,0,0,none,none,8
209,Fish,Velvet Crab,Coast,none,none,0,none,none,0,0,0,none,none,9
210,Fish,Twaite Shad,Coast,none,none,0,none,none,0,0,0,none,none,10
211,Fish,Bloody Henry Starfish,Coast,none,none,0,none,none,0,0,0,none,none,11
301,Mammal,Brown hare,Meadows,none,none,0,none,none,0,0,0,none,none,12
302,Bird,Green woodpecker,Meadows,none,none,0,none,none,0,0,0,none,none,13
303,Bird,Red Kite,Meadows,none,none,0,none,none,0,0,0,none,none,14
304,Bird,Kestrel,Meadows,none,none,0,none,none,0,0,0,none,none,15
305,Reptile,Common lizard,Meadows,none,none,0,none,none,0,0,0,none,none,16
306,Reptile,Adder,Meadows,none,none,0,none,none,0,0,0,none,none,17
307,Reptile,Grass snake,Meadows,none,none,0,none,none,0,0,0,none,none,18
308,Insect,Emperor moth,Meadows,none,none,0,none,none,0,0,0,none,none,19
309,Insect,Hummingbird hawk moth,Meadows,none,none,0,none,none,0,0,0,none,none,20
310,Insect,Orange tip butterfly,Meadows,none,none,0,none,none,0,0,0,none,none,21
311,Insect,Peacock butterfly,Meadows,none,none,0,none,none,0,0,0,none,none,22
312,Insect,White tailed bumblebee,Meadows,none,none,0,none,none,0,0,0,none,none,23
313,Insect,ruby-tailed wasp,Meadows,none,none,0,none,none,0,0,0,none,none,24
